Town,Stadium,10/06/1998,,,,11/06/1998,,,,12/06/1998,,,,13/06/1998,,,,14/06/1998,,,,15/06/1998,,,,16/06/1998,,,,17/06/1998,,,,18/06/1998,,,,19/06/1998,,,,20/06/1998,,,,21/06/1998,,,,22/06/1998,,,,23/06/1998,,,,24/06/1998,,,,25/06/1998,,,,26/06/1998,,,,27/06/1998,,,,28/06/1998,,,,29/06/1998,,,,30/06/1998,,,,03/07/1998,,,,04/07/1998,,,,07/07/1998,,,,08/07/1998,,,,11/07/1998,,,,12/07/1998,,,
Saint-Denis,Stade de France,1,17:30,A1,A2,,,,,,,,,10,21:00,E3,E4,,,,,,,,,,,,,,,,,22,21:00,C3,C1,,,,,,,,,,,,,,,,,33,16:00,B1,B4,,,,,,,,,48,21:00,G3,G2,,,,,50,21:00,1D,2C,,,,,,,,,59,16:30,6,5,,,,,,,,,62,21:00,C,D,,,,,64,21:00,W1,W2
Marseille,Stade Vélodrome,,,,,,,,,7,21:00,C3,C4,,,,,,,,,14,14:30,G1,G2,,,,,,,,,,,,,,,,,27,21:00,E3,E1,,,,,,,,,35,21:00,A1,A4,,,,,,,,,,,,,53,16:30,1B,2A,,,,,,,,,,,,,,,,,58,16:30,3,4,61,21:00,A,B,,,,,,,,,,,,
Paris,Parc des Princes,,,,,,,,,,,,,,,,,,,,,16,21:00,F3,F4,,,,,,,,,,,,,23,17:30,D4,D2,,,,,29,17:30,H1,H3,,,,,,,,,,,,,42,16:00,E4,E1,,,,,49,21:00,1A,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,21:00,L1,L2,,,,
Lens,Stade Félix Bollaert,,,,,,,,,6,17:30,C1,C2,,,,,13,21:00,H3,H4,,,,,,,,,,,,,,,,,,,,,,,,,28,14:30,F3,F1,,,,,,,,,40,21:00,D3,D2,,,,,47,21:00,G4,G1,,,,,54,16:30,1C,2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyon,Stade de Gerland,,,,,,,,,,,,,9,17:30,E1,E2,,,,,15,17:30,G3,G4,,,,,,,,,,,,,,,,,,,,,30,21:00,F4,F2,,,,,,,,,37,16:00,C3,C2,,,,,46,16:00,H2,H3,,,,,,,,,,,,,,,,,,,,,60,21:00,7,8,,,,,,,,,,,,,,,,
Nantes,Stade de la Beaujoire,,,,,,,,,,,,,8,14:30,D3,D4,,,,,,,,,18,21:00,A1,A3,,,,,,,,,,,,,25,14:30,H2,H4,,,,,,,,,34,16:00,B2,B3,,,,,43,21:00,F4,F1,,,,,,,,,,,,,,,,,,,,,57,21:00,1,2,,,,,,,,,,,,,,,,,,,,
Toulouse,Stadium de Toulouse,,,,,4,21:00,B3,B4,,,,,,,,,11,14:30,H1,H2,,,,,,,,,,,,,21,17:30,C4,C2,,,,,,,,,,,,,32,21:00,G3,G1,,,,,39,21:00,D4,D1,,,,,,,,,,,,,,,,,51,21:00,1E,2F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Étienne,Stade Geoffroy-Guichard,,,,,,,,,,,,,,,,,12,17:30,F1,F2,,,,,,,,,19,17:30,B2,B4,,,,,24,21:00,D3,D1,,,,,,,,,,,,,36,21:00,A2,A3,,,,,41,16:00,E3,E2,,,,,,,,,,,,,,,,,52,21:00,1H,2G,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,Parc Lescure,,,,,3,17:30,B1,B2,,,,,,,,,,,,,,,,,17,17:30,A2,A4,,,,,,,,,,,,,26,17:30,E4,E2,,,,,,,,,,,,,38,16:00,C4,C1,,,,,45,16:00,H1,H4,,,,,,,,,,,,,56,16:30,1G,2H,,,,,,,,,,,,,,,,,,,,,,,,
Montpellier,Stade de la Mosson,2,21:00,A3,A4,,,,,5,14:30,D1,D2,,,,,,,,,,,,,,,,,20,21:00,B1,B3,,,,,,,,,,,,,,,,,31,17:30,G4,G2,,,,,,,,,44,21:00,F3,F2,,,,,,,,,,,,,55,16:30,1F,2E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
