Town,Stadium,11/06/10,,,,12/06/10,,,,13/06/10,,,,14/06/10,,,,15/06/10,,,,16/06/10,,,,17/06/10,,,,18/06/10,,,,19/06/10,,,,20/06/10,,,,21/06/10,,,,22/06/10,,,,23/06/10,,,,24/06/10,,,,25/06/10,,,,26/06/10,,,,27/06/10,,,,28/06/10,,,,29/06/10,,,,02/07/10,,,,03/07/10,,,,06/07/10,,,,07/07/10,,,,10/07/10,,,,11/07/10,,,
Johannesburg,Soccer City,1,14:00:00,A1,A2,,,,,,,,,9,11:30:00,E1,E2,,,,,,,,,20,18:30:00,B1,B3,,,,,,,,,29,18:30:00,G1,G3,,,,,,,,,39,18:30:00,D4,D1,,,,,,,,,,,,,52,18:30:00,1B,2A,,,,,,,,,58,18:30:00,1,3,,,,,,,,,,,,,,,,,64,18:30:00,W1,W2
Johannesburg,Ellis Park,,,,,3,11:30:00,B1,B2,,,,,,,,,14,18:30:00,G1,G2,,,,,,,,,22,14:00:00,C4,C2,,,,,,,,,32,18:30:00,H1,H3,,,,,,,,,41,14:00:00,F4,F1,,,,,,,,,,,,,54,18:30:00,1G,2H,,,,,,,,,60,18:30:00,6,8,,,,,,,,,,,,,,,,
Nelspruit,Mbombela,,,,,,,,,,,,,,,,,,,,,15,11:30:00,H3,H4,,,,,,,,,,,,,28,14:00:00,F1,F3,,,,,,,,,40,18:30:00,D2,D3,,,,,46,14:00:00,G2,G3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rustenburg,Royal Bafokeng,,,,,5,18:30:00,C1,C2,,,,,,,,,12,11:30:00,F3,F4,,,,,,,,,,,,,24,11:30:00,D4,D2,,,,,,,,,33,14:00:00,A2,A3,,,,,43,18:30:00,E2,E3,,,,,50,18:30:00,1C,2D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangaung/Bloemfontein,Free State,,,,,,,,,,,,,10,14:00:00,E3,E4,,,,,,,,,19,14:00:00,B4,B2,,,,,,,,,27,11:30:00,F4,F2,,,,,34,14:00:00,A4,A1,,,,,,,,,48,18:30:00,H2,H3,,,,,51,14:00:00,1D,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Town,Green Point,2,18:30:00,A3,A4,,,,,,,,,11,18:30:00,F1,F2,,,,,,,,,,,,,23,18:30:00,C1,C3,,,,,,,,,30,11:30:00,G4,G2,,,,,,,,,44,18:30:00,E4,E1,,,,,,,,,,,,,,,,,56,18:30:00,1H,2G,,,,,59,14:00:00,2,4,61,18:30:00,A,C,,,,,,,,,,,,
Durban,Durban,,,,,,,,,7,14:00:00,D1,D2,,,,,,,,,16,14:00:00,H1,H2,,,,,,,,,25,14:00:00,E1,E3,,,,,,,,,35,18:30:00,B2,B3,,,,,,,,,45,14:00:00,G4,G1,,,,,,,,,53,14:00:00,1E,2F,,,,,,,,,,,,,,,,,62,18:30:00,B,D,,,,,,,,
Polokwane,Peter Mokaba,,,,,,,,,6,11:30:00,C3,C4,,,,,,,,,,,,,18,11:30:00,A4,A2,,,,,,,,,,,,,,,,,36,18:30:00,B4,B1,,,,,42,14:00:00,F2,F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson Mandela Bay/Port Elizabeth,Nelson Mandela Bay,,,,,4,14:00:00,B3,B4,,,,,,,,,13,14:00:00,G3,G4,,,,,,,,,21,11:30:00,D1,D3,,,,,,,,,31,14:00:00,H4,H2,,,,,37,14:00:00,C4,C1,,,,,,,,,49,14:00:00,1A,2B,,,,,,,,,,,,,57,14:00:00,5,7,,,,,,,,,,,,,63,18:30:00,L1,L2,,,,
Tshwane/Pretoria,Loftus Versfeld,,,,,,,,,8,18:30:00,D3,D4,,,,,,,,,17,18:30:00,A1,A3,,,,,,,,,26,18:30:00,E4,E2,,,,,,,,,,,,,38,14:00:00,C2,C3,,,,,47,18:30:00,H4,H1,,,,,,,,,,,,,55,14:00:00,1F,2E,,,,,,,,,,,,,,,,,,,,,,,,
